2022-01-26 17:43:00,848 | INFO | ulauncher: main() | Ulauncher version 5.14.3
2022-01-26 17:43:00,848 | INFO | ulauncher: main() | Extension API version 2.0.0
2022-01-26 17:43:00,848 | INFO | ulauncher: main() | GTK+ 3.24.31
2022-01-26 17:43:00,848 | INFO | ulauncher: main() | Is Wayland: False
2022-01-26 17:43:00,848 | INFO | ulauncher: main() | Wayland compatibility: off
2022-01-26 17:43:00,858 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'input-box'
2022-01-26 17:43:00,860 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','destroy', 'on_destroy'
2022-01-26 17:43:00,860 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_in_event', 'on_focus_in_event'
2022-01-26 17:43:00,860 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_out_event', 'on_focus_out_event'
2022-01-26 17:43:00,860 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'input','key_press_event', 'on_input_key_press_event'
2022-01-26 17:43:00,861 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_input_changed'
2022-01-26 17:43:00,861 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_about_activate'
2022-01-26 17:43:00,861 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_close_activate'
2022-01-26 17:43:00,861 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_preferences_activate'
2022-01-26 17:43:00,861 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_preferences_dialog_destroyed'
2022-01-26 17:43:00,862 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 17:43:00,862 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 17:43:00,867 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:43:00,869 | INFO | ulauncher.api.server.ExtensionServer: _start_thread() | Starting WS server on port 5054
2022-01-26 17:43:00,869 | INFO | ulauncher.search.apps.app_watcher: start() | Started scanning desktop dirs
2022-01-26 17:43:00,870 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.mobile.okular_epub.desktop": constructor returned NULL
2022-01-26 17:43:00,871 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.mobile.okular_ghostview.desktop": constructor returned NULL
2022-01-26 17:43:00,872 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.mobile.okular_chm.desktop": constructor returned NULL
2022-01-26 17:43:00,872 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.mobile.okular_fb.desktop": constructor returned NULL
2022-01-26 17:43:00,873 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.mobile.okular_md.desktop": constructor returned NULL
2022-01-26 17:43:00,873 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.mobile.okular_pdf.desktop": constructor returned NULL
2022-01-26 17:43:00,873 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.mobile.okular_mobi.desktop": constructor returned NULL
2022-01-26 17:43:00,873 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.mobile.okular_tiff.desktop": constructor returned NULL
2022-01-26 17:43:00,873 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.mobile.okular_fax.desktop": constructor returned NULL
2022-01-26 17:43:00,874 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.kded5.desktop": constructor returned NULL
2022-01-26 17:43:00,874 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.mobile.okular_kimgio.desktop": constructor returned NULL
2022-01-26 17:43:00,874 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.mobile.okular_dvi.desktop": constructor returned NULL
2022-01-26 17:43:00,874 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.mobile.okular_comicbook.desktop": constructor returned NULL
2022-01-26 17:43:00,874 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.mobile.okular_txt.desktop": constructor returned NULL
2022-01-26 17:43:00,876 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.mobile.okular_xps.desktop": constructor returned NULL
